Submission Date,Who was your coaching call with?,What did you work on in the coaching call?,Was the purpose of the call fulfilled? (Did the coach successfully help you with what you wanted?),Were all of your questions answered and clearly explained?,How was the coaches attitude on the call?,Rate your overall experience in the call,Do you have any ideas / recommendations that would help improve your experience?,Are there any improvements you'd like to see from the coaches?,utm_source,utm_campaign,utm_medium,utm_term,Submission ID,Week-Year,Avg,Streak
"2022 October 15, 1:16PM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5616581139218680404,,5,
"2022 October 16, 8:33AM",Joshua Fimmano,Product Research,4,5,5,5,"This may have been my fault for not asking to do so, but I did want to go through the other products in my list just briefly, just to get an idea of how viable they were, so I could perhaps use them later on if the chosen products didn't work out (instead of calling again and finding out later). However, I did like the confidence and reassurance Josh gave me during the call.","No, thank you. Josh made explained things, made conversation and things felt natural so that was good.",,,,,5615727065124061012,,4.75,
"2022 October 16, 1:30PM",Selena Markantonakis,Product Research,5,5,5,5,,,,,,,5615610973012229427,,5,
"2022 October 18, 9:41AM",Joshua Fimmano,Ad Account Review,5,5,5,5,NA,NA,,,,,5614932313417696297,,5,
"2022 October 19, 11:54AM",Selena Markantonakis,"Ad Angle Review
Ad Account Review",5,5,5,5,,,,,,,5614891025125918215,,5,
"2022 October 20, 3:35PM",Joshua Fimmano,Product Research,5,5,5,5,Have the recorded sessions of the calls be shared to participants to have on-file as an additional resource to review,None,,,,,5614823051217464372,,5,
"2022 October 21, 9:31AM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5614755136121912162,,5,
"2022 October 22, 10:18AM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5614262645014782560,,5,
"2022 October 22, 1:25PM",Joshua Fimmano,Product Research,5,5,5,5,Maybe some more in depth explanations behind some of the decision processes but apart from that everything was excellent,,,,,,5614199016413233893,,5,
"2022 October 22, 2:02PM",Joshua Fimmano,Product Research,5,5,5,5,,No not really. Josh spoke casually and friendly whilst being helpful.,,,,,5614048949881697889,,5,
"2022 October 24, 10:30AM",Selena Markantonakis,Ad Account Review,5,5,5,5,Thanks so much!,Nil,,,,,5614033001911430487,,5,
"2022 October 24, 12:38PM",Selena Markantonakis,Product Research,5,5,5,5,,,,,,,5613285544321253182,,5,
"2022 October 24, 2:39PM",Selena Markantonakis,Product Research,5,5,5,4,,,,,,,5613186112127687376,,4.75,
"2022 October 25, 5:04PM",Joshua Fimmano,Product Research,5,5,5,5,,No Josh was super helpful laid it out so I could understand couldn't recommend him enough,,,,,5613113143717011736,,5,
"2022 October 25, 5:41PM",Selena Markantonakis,Ad Account Review,5,5,5,5,No recommendations - Selena is awesome!,Had Selena - She's awesome.,,,,,5613026502106207028,,5,
"2022 October 25, 5:59PM",Selena Markantonakis,Product Research,5,5,5,5,,,,,,,5613012030551925112,,5,
"2022 October 25, 11:48PM",Selena Markantonakis,Product Research,5,5,5,5,"no, she was perfect",,,,,,5612982260132961228,,5,
"2022 October 26, 12:35PM",Selena Markantonakis,Website Optimisation,5,5,5,5,,,,,,,5612457390111270847,,5,
"2022 October 27, 10:27AM",Joshua Fimmano,Ad Account Review,5,5,5,5,,,,,,,5612395260719448078,,5,
"2022 October 27, 10:28AM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5612374947864765259,,5,
"2022 October 27, 4:12PM",Selena Markantonakis,Website Optimisation,5,5,5,5,,,,,,,5612356776313322462,,5,
"2022 October 27, 6:01PM",Selena Markantonakis,Ad Account Review,5,5,5,5,,,,,,,5612230542026841346,,5,
"2022 October 28, 1:22PM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5611380217327117175,,5,
"2022 October 29, 11:02AM",Joshua Fimmano,Website Optimisation,5,5,5,5,,,,,,,5611312802619120267,,5,
"2022 October 29, 8:26PM",Joshua Fimmano,Website Optimisation,5,5,5,5,,,,,,,5611308121317955511,,5,
"2022 October 30, 12:36PM",Joshua Fimmano,Ad Angle Review,5,5,5,5,,,,,,,5611298041912893466,,5,
"2022 October 31, 11:43AM",Selena Markantonakis,Website Optimisation,5,5,5,5,,,,,,,5610679788416732311,,5,
"2022 October 31, 6:57PM",Selena Markantonakis,"Website Optimisation
Ad Angle Review
Ad Account Review",5,5,5,5,,,,,,,5610507064422314670,,5,
"2022 October 31, 9:55PM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5610466544918133638,,5,
"2022 November 1, 4:44PM",Selena Markantonakis,"Product Research
Website Optimisation",5,5,5,5,,,,,,,5610434001427832498,,5,
"2022 November 1, 5:24PM",Selena Markantonakis,Product Research,5,5,5,5,,,,,,,5610395633227894606,,5,
"2022 November 1, 6:25PM",Selena Markantonakis,Website Optimisation,5,5,5,5,,,,,,,5609811717791411895,,5,
"2022 November 1, 7:36PM",Joshua Fimmano,Product Research,5,5,5,5,Was all good. Looking forward to the next step!,,,,,,5609747694941969031,,5,
"2022 November 2, 2:01PM",Selena Markantonakis,Product Research,5,5,5,5,,,,,,,5609635655614045415,,5,
"2022 November 2, 4:27PM",Selena Markantonakis,Product Research,5,5,5,5,"not at all, the call was a highly enjoyable experience !","again, no",,,,,5608958541715268271,,5,
"2022 November 2, 5:17PM",Selena Markantonakis,Website Optimisation,5,5,5,5,,,,,,,5608945852025462108,,5,
"2022 November 3, 2:17PM",Selena Markantonakis,"Website Optimisation
Ad Angle Review",5,5,5,5,,,,,,,5608889844716050696,,5,
"2022 November 3, 2:47PM",Joshua Fimmano,Product Research,5,5,5,5,Everything was excellent.,Everything was excellent.,,,,,5608336005999184159,,5,
"2022 November 3, 3:38PM",Selena Markantonakis,Product Research,5,5,5,5,,,,,,,5608187897127562234,,5,
"2022 November 5, 1:16PM",Joshua Fimmano,Product Research,2,2,2,2,,,,,,,5608128103432713254,,2,
"2022 November 5, 3:23PM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5608109603712653603,,5,
"2022 November 5, 9:44PM",Joshua Fimmano,"Ad Angle Review
Ad Account Review",5,5,5,5,,,,,,,5608053596518539653,,5,
"2022 November 6, 11:46AM",Joshua Fimmano,Ad Account Review,5,5,5,5,,,,,,,5607862290354495971,,5,
"2022 November 6, 3:08PM",Selena Markantonakis,Website Optimisation,5,5,5,5,"I wish the calls were a little longer, 45 minutes or so",,,,,,5607193072914629669,,5,
"2022 November 8, 4:03PM",Selena Markantonakis,Ad Account Review,5,5,5,5,,,,,,,5607126842561338174,,5,
"2022 November 8, 6:09PM",Selena Markantonakis,Product Research,5,5,5,5,No it was a good call,"No, good call",,,,,5607085072713521957,,5,
"2022 November 8, 6:19PM",Selena Markantonakis,"Website Optimisation
Ad Angle Review",5,5,5,5,,,,,,,5606818699512323804,,5,
"2022 November 9, 6:48AM",Selena Markantonakis,Product Research,5,5,5,5,NA,NA,,,,,5606337992129853184,,5,
"2022 November 9, 1:17PM",Selena Markantonakis,Website Optimisation,5,5,5,5,,,,,,,5606290833033702262,,5,
"2022 November 9, 1:25PM",Joshua Fimmano,Website Optimisation,5,4,5,5,,,,,,,5605589836715393163,,4.75,
"2022 November 9, 4:01PM",Selena Markantonakis,"Website Optimisation
Ad Angle Review
Ad Account Review",5,5,5,5,Amazing call thank you,,,,,,5605493657413521452,,5,
"2022 November 9, 6:34PM",Selena Markantonakis,Product Research,5,5,5,5,,,,,,,5605409782616892588,,5,
"2022 November 10, 4:49AM",Selena Markantonakis,Product Research,5,5,5,5,,,,,,,5605381394943035704,,5,
"2022 November 10, 2:49PM",Selena Markantonakis,Product Research,5,5,5,5,,,,,,,5605303312321507456,,5,
"2022 November 11, 6:15AM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5605266807814824795,,5,
"2022 November 11, 2:11PM",Selena Markantonakis,"Website Optimisation
Ad Account Review",5,5,5,5,,,,,,,5605227088417651122,,5,
"2022 November 11, 3:28PM",Joshua Fimmano,Product Research,5,5,5,5,"Probably making the person do an attempt of the specific issue they called for and work through what they are doing right or wrong. For example the purpose of a call being for product research, get the person to go through 1 product and test them to see if they are doing it correct. All constructive feedback :)) Fantastic coaches.",,,,,,5604649925613036139,,5,
"2022 November 14, 5:11AM",Joshua Fimmano,"Ad Angle Review
Ad Account Review",5,5,5,5,,,,,,,5604550900566814016,,5,
"2022 November 15, 6:15AM",Selena Markantonakis,Website Optimisation,5,5,5,5,,,,,,,5604512853718759611,,5,
"2022 November 15, 7:45AM",Selena Markantonakis,"Website Optimisation
Ad Account Review",5,5,5,5,,,,,,,5604383190199273736,,5,
"2022 November 15, 9:21AM",Selena Markantonakis,Product Research,4,4,2,3,"I hadn't met Selana yet, maybe some conversation to know who i was and what i was about. Pretty much just jumped straight into it.",,,,,,5604376935111659571,,3.25,
"2022 November 15, 12:33PM",Selena Markantonakis,Product Research,5,5,5,5,Nope,Nope,,,,,5604225220192627274,,5,
"2022 November 15, 12:44PM",Selena Markantonakis,Ad Account Review,5,5,5,5,,,,,,,5603717657117912423,,5,
"2022 November 15, 1:01PM",Selena Markantonakis,Product Research,5,5,5,5,,,,,,,5603713716424735912,,5,
"2022 November 15, 3:31PM",Selena Markantonakis,Product Research,1,1,1,1,Tried to get into the call but didnt work,N/A,,,,,5603553597126321047,,1,
"2022 November 15, 5:26PM",Selena Markantonakis,Product Research,5,5,5,5,,,,,,,5603501266011351242,,5,
"2022 November 16, 11:23AM",Selena Markantonakis,Product Research,3,5,5,4,,,,,,,5603497956014397984,,4.25,
"2022 November 16, 2:02PM",Selena Markantonakis,Ad Angle Review,5,5,5,5,,,,,,,5603113928815945741,,5,
"2022 November 16, 4:12PM",Selena Markantonakis,Product Research,5,5,5,5,"Selena is very nice and easy to talk to, she pointed out what to avoid and gave extra tips on product research :)",,,,,,5603019162028745052,,5,
"2022 November 16, 4:37PM",Selena Markantonakis,Website Optimisation,5,5,5,5,,,,,,,5602801775712276876,,5,
"2022 November 17, 5:42AM",Selena Markantonakis,Website Optimisation,5,5,5,5,,,,,,,5602760423033063628,,5,
"2022 November 17, 10:22AM",Selena Markantonakis,Product Research,5,5,5,5,,,,,,,5602738614513235684,,5,
"2022 November 17, 2:08PM",Selena Markantonakis,Ad Angle Review,5,5,5,5,,,,,,,5602700445125810592,,5,
"2022 November 17, 2:55PM",Selena Markantonakis,Product Research,5,5,5,5,,,,,,,5602659713324100679,,5,
"2022 November 17, 4:31PM",Joshua Fimmano,Ad Angle Review,5,5,5,5,,,,,,,5602638066014422449,,5,
"2022 November 17, 4:31PM",Selena Markantonakis,Product Research,5,5,5,5,,,,,,,5602573926153390038,,5,
"2022 November 18, 12:35PM",Joshua Fimmano,Ad Account Review,5,5,5,5,,,,,,,5602173065714052554,,5,
"2022 November 19, 12:16PM",Selena Markantonakis,Ad Angle Review,5,5,5,5,Selena was amazing and very helpful. I'm very pleased to work with her,,,,,,5602125398919174782,,5,
"2022 November 19, 12:17PM",Joshua Fimmano,Ad Account Review,5,5,5,5,Joshua was very helpful and friendly. I'm very pleased to work with him. Amazing guy,,,,,,5602116683421365000,,5,
"2022 November 20, 1:25PM",Selena Markantonakis,Product Research,5,5,5,5,,,,,,,5602079300551463732,,5,
"2022 November 20, 2:06PM",Selena Markantonakis,Product Research,4,4,5,4,,,,,,,5602003177919529468,,4.25,
"2022 November 21, 10:01AM",Selena Markantonakis,Product Research,5,5,5,5,"nice communicate, very effective to solve questions, point out places to improve",N\A,,,,,5601964605718995283,,5,
"2022 November 21, 11:03AM",Selena Markantonakis,Ad Angle Review,5,5,5,5,,,,,,,5601835647517943036,,5,
"2022 November 21, 3:01PM",Selena Markantonakis,Ad Angle Review,5,5,5,5,,,,,,,5601829827113431028,,5,
"2022 November 22, 3:31PM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5601195629429681510,,5,
"2022 November 22, 4:38PM",Selena Markantonakis,Product Research,5,5,5,5,,,,,,,5601183980931628333,,5,
"2022 November 23, 9:36AM",Selena Markantonakis,Product Research,5,5,5,5,,,,,,,5601167842019936270,,5,
"2022 November 23, 4:21PM",Selena Markantonakis,Website Optimisation,5,5,5,5,,,,,,,5601143272617335184,,5,
"2022 November 24, 2:32PM",Joshua Fimmano,Ad Angle Review,5,5,5,5,Always happy after every coaching call with joshua. Very helpful and answered all my questions. Glad we have him in our team,Not at the moment,,,,,5601138707916062293,,5,
"2022 November 26, 12:14PM",Joshua Fimmano,"Product Research
Website Optimisation",5,5,5,5,I enjoyed the experience and learned a lot! Much appreciated.,,,,,,5601034212257530551,,5,
"2022 November 26, 1:42PM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5601002286511618673,,5,
"2022 November 27, 1:01PM",Selena Markantonakis,"Website Optimisation
Ad Angle Review
Ad Account Review",5,5,5,5,,,,,,,5600927758416370247,,5,
"2022 November 27, 5:11PM",Joshua Fimmano,"Product Research
Ad Account Review",5,4,4,4,,,,,,,5600482321422854004,,4.25,
"2022 November 27, 6:27PM",Selena Markantonakis,Product Research,5,5,5,5,,,,,,,5600395052293864356,,5,
"2022 November 28, 8:54AM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5600319204217882113,,5,
"2022 November 28, 11:03AM",Selena Markantonakis,Ad Account Review,5,5,5,5,Always happy with the outcome of the coaching call with Selena. She's very helpful and friendly. Thank you again. We are blessed to have people like you guys,,,,,,5600281407421930491,,5,
"2022 November 28, 11:38AM",Selena Markantonakis,Product Research,4,5,5,5,,,,,,,5600154482616769234,,4.75,
"2022 November 28, 1:03PM",Selena Markantonakis,"Website Optimisation
Ad Account Review",5,5,5,5,,,,,,,5599399482024803523,,5,
"2022 November 28, 2:02PM",Selena Markantonakis,"Website Optimisation
Ad Account Review",5,5,5,5,,,,,,,5599398851315236422,,5,
"2022 November 28, 2:38PM",Selena Markantonakis,Website Optimisation,5,5,5,5,,,,,,,5599336072714167943,,5,
"2022 November 29, 8:48AM",Joshua Fimmano,Product Research,4,4,4,4,"It'd be really inspiring to see Josh sitting in front of a nicer backdrop - something a little more professional than his bedroom - even though his bed was semi-made... kind of feels like I'm talking to a teenage boy not a young man if you know what I mean... it would be more motivating to see our coaches in a professional, vibrant and stimulating setting - give us, your clients, something to aspire to - the glimpse of a lifestyle we desire - which is why we all bought into 6fds. Be nice to see more diversity in your team - people of different ages, backgrounds, and varied experiences - I'd feel more connected to your team/brand as I'd find it/them more relatable and would probably invest more and over a longer period of time anddddd advocate for you guys.",Just what I said above really.,,,,,5599309322183775200,,4,
"2022 November 29, 10:21AM",Joshua Fimmano,Ad Account Review,5,5,5,5,Keep doing what you're doing brother,"More time slots, so hard to catch them now!",,,,,5599220053756187590,,5,
"2022 November 29, 12:06PM",Selena Markantonakis,Website Optimisation,5,5,5,5,,,,,,,5598746604678614137,,5,
"2022 November 29, 12:30PM",Selena Markantonakis,"Website Optimisation
Ad Angle Review",5,5,5,5,,,,,,,5598405029917299810,,5,
"2022 November 29, 1:09PM",Selena Markantonakis,Product Research,5,5,5,5,None at the moment since the coach was spot on and explaining everything in a way we can understand straight away.,N/A,,,,,5597656192812124769,,5,
"2022 November 29, 3:07PM",Selena Markantonakis,Ad Account Review,5,5,5,5,no,no,,,,,5597526645422460668,,5,
"2022 November 30, 5:49AM",Joshua Fimmano,Website Optimisation,5,5,5,5,,,,,,,5597506465229624676,,5,
"2022 November 30, 3:32PM",Selena Markantonakis,Ad Account Review,5,5,5,5,,,,,,,5597488835115878206,,5,
"2022 December 1, 5:34AM",Selena Markantonakis,Ad Account Review,5,5,5,5,,,,,,,5597396976631258759,,5,
"2022 December 1, 7:56AM",Selena Markantonakis,"Website Optimisation
Ad Account Review",5,5,5,5,,,,,,,5596790860833293176,,5,
"2022 December 1, 9:01AM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5596784435611909764,,5,
"2022 December 1, 9:01AM",Selena Markantonakis,Product Research,5,5,5,5,,,,,,,5596678191499743099,,5,
"2022 December 3, 12:07PM",Joshua Fimmano,Ad Angle Review,5,5,5,5,,,,,,,5596606628311426449,,5,
"2022 December 6, 9:02AM",Joshua Fimmano,Product Research,5,5,5,5,None at this stage.,"None, keep up the good work!",,,,,5596010684957544357,,5,
"2022 December 6, 1:48PM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5595888092515869215,,5,
"2022 December 8, 7:24AM",Joshua Fimmano,Ad Account Review,5,5,5,5,,,,,,,5595835257911539165,,5,
"2022 December 8, 7:50AM",Joshua Fimmano,Ad Angle Review,5,5,5,5,,,,,,,5595823842124581290,,5,
"2022 December 8, 10:31AM",Joshua Fimmano,Product Research,5,5,5,5,Josh is great. Very attentive and overall helpful,No comment. Josh is a valuable team member,,,,,5595718866415816828,,5,
"2022 December 8, 3:04PM",Joshua Fimmano,Ad Account Review,4,4,5,4,20 minutes is very short,,,,,,5595707329524338426,,4.25,
"2022 December 9, 7:25AM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5595588900018317088,,5,
"2022 December 9, 12:33PM",Joshua Fimmano,Website Optimisation,5,5,5,5,,,,,,,5595286282022352436,,5,
"2022 December 9, 2:33PM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5595259519114533944,,5,
"2022 December 9, 5:58PM",Joshua Fimmano,Ad Account Review,5,5,5,5,,,,,,,5595035450198298299,,5,
"2022 December 11, 10:20AM",Joshua Fimmano,Product Research,4,4,5,4,"10min is too short, I would expect at least 30mins.","He is good at what he is doing. I joined the group calls three times to listen. All finished in less than half an hour.  Waiting for a full 2 hour session with loads of knowledge and new skills. 

My experience with you guys has been so good so far, no complaints. 

Thank you very much everyone. You are doing a great job.",,,,,5595010610548526627,,4.25,
"2022 December 11, 1:02PM",Joshua Fimmano,Ad Angle Review,5,5,5,5,,,,,,,5594842824522758949,,5,
"2022 December 11, 3:57PM",Joshua Fimmano,Product Research,5,5,5,5,"Loved it - Josh was super efficient and we got through all my products, creating a great and detailed shortlist (with suggestions for what to try first and what should be filler) in only 15 minutes. Feel much more confident and like I know where to go from here:)",,,,,,5594667976919368917,,5,
"2022 December 11, 5:52PM",Joshua Fimmano,Product Research,5,5,4,5,,,,,,,5594350278418965215,,4.75,
"2022 December 18, 1:53PM",Selena Markantonakis,Website Optimisation,5,5,5,5,,,,,,,5593202969712930695,,5,
"2022 December 19, 9:51AM",Selena Markantonakis,Product Research,5,5,5,5,"Friendly, supportive and productive!",,,,,,5593044801349997482,,5,
"2022 December 19, 10:47AM",Selena Markantonakis,Product Research,5,5,5,5,,,,,,,5592510140028486325,,5,
"2022 December 19, 12:20PM",Selena Markantonakis,Ad Account Review,5,5,5,5,,,,,,,5592303663576588610,,5,
"2022 December 19, 3:27PM",Selena Markantonakis,Product Research,5,5,5,5,,,,,,,5592280368415925919,,5,
"2022 December 20, 5:20AM",Selena Markantonakis,Product Research,5,5,5,5,"If you can keep the short calls for the future, real quick and thorough for the people that work. Selena was able to go through products whilst having a general conversation and not waste any time.",Same as Selena,,,,,5591772459325768031,,5,
"2022 December 20, 11:37AM",Selena Markantonakis,Product Research,5,5,5,5,Great first experience meeting with Selena to select my products tonight!,,,,,,5591622051922054438,,5,
"2022 December 20, 3:22PM",Selena Markantonakis,Product Research,5,5,5,5,"No recommendations. Selena was very professional, was prepared ahead of time, worked to the time limit allocated without rushing & provided excellent guidance in how to progress forwards",,,,,,5591493005823646016,,5,
"2022 December 20, 4:05PM",Selena Markantonakis,Ad Account Review,5,5,5,5,,,,,,,5590745185523250296,,5,
"2022 December 20, 4:57PM",Selena Markantonakis,Product Research,5,4,5,5,,,,,,,5590720970528377842,,4.75,
"2022 December 20, 5:29PM",Selena Markantonakis,Product Research,5,5,5,5,,,,,,,5590716891914551602,,5,
"2022 December 20, 6:15PM",Selena Markantonakis,"Website Optimisation
Ad Angle Review",5,5,5,5,Selena was simply lovely and amazing as always! She went above all I expected and even offered to work on my angles in her spare time - which she promptly did! She is a true asset,,,,,,5590614431015475051,,5,
"2022 December 20, 7:52PM",Selena Markantonakis,Product Research,5,5,5,5,,,,,,,5590540917115602581,,5,
"2023 January 6, 8:44AM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5590318779214183909,1-2023,5,
"2023 January 6, 9:01AM",Joshua Fimmano,Product Research,5,5,5,5,Possibly increasing the time of the coaching call to 30mins! Gives more time to work through things :),N/A,,,,,5589856841515819713,1-2023,5,
"2023 January 6, 10:02AM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5589842733192671654,1-2023,5,
"2023 January 6, 3:11PM",Joshua Fimmano,Product Research,5,5,5,5,n/a,n/a,,,,,5589735270211110970,1-2023,5,
"2023 January 7, 9:51AM",Joshua Fimmano,Product Research,5,5,5,5,"All good
It's just that the coaching call is too full",Hope to increase coaching crew,,,,,5589150287595237143,1-2023,5,
"2023 January 7, 9:54AM",Joshua Fimmano,Website Optimisation,5,5,5,5,,,,,,,5589135050027631663,1-2023,5,
"2023 January 7, 10:20AM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5589072830211237625,1-2023,5,
"2023 January 7, 12:45PM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5589001008828722678,1-2023,5,
"2023 January 7, 8:49PM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5588662452215210472,1-2023,5,
"2023 January 8, 10:27AM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5588130202021105647,2-2023,5,
"2023 January 8, 2:29PM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5587992681757181404,2-2023,5,
"2023 January 10, 2:45PM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5587577500591431698,2-2023,5,
"2023 January 10, 3:44PM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5587326787619738927,2-2023,5,
"2023 January 10, 4:23PM",Selena Markantonakis,Product Research,5,5,5,5,"Was very difficult to book a call due to no available slots, but the call itself was great :)",,,,,,5587023446129818715,2-2023,5,
"2023 January 10, 5:32PM",Selena Markantonakis,Product Research,5,4,4,5,,,,,,,5585700529019686472,2-2023,4.5,
"2023 January 11, 10:20AM",Joshua Fimmano,"Product Research
Website Optimisation
Ad Angle Review
Ad Account Review",2,2,2,1,,,,,,,5585518571029082116,2-2023,1.75,
"2023 January 11, 4:38PM",Selena Markantonakis,Product Research,4,5,5,4,,,,,,,5584745220317649744,2-2023,4.5,
"2023 January 11, 5:47PM",Selena Markantonakis,Product Research,5,5,5,5,Nil - Selena was lovely and efficient,Nil,,,,,5584727012615421204,2-2023,5,
"2023 January 12, 10:33AM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5584695039028116946,2-2023,5,
"2023 January 12, 10:43AM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5584601536134891329,2-2023,5,
"2023 January 12, 11:00AM",Joshua Fimmano,Ad Account Review,5,5,5,5,,,,,,,5583936640615254290,2-2023,5,
"2023 January 12, 11:25AM",Joshua Fimmano,Product Research,5,5,5,5,Answered during call,So far coach joshua has been very good and was able to help me pick my products from list overall im happy :),,,,,5583921504635103576,2-2023,5,
"2023 January 12, 3:43PM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5583870229023212210,2-2023,5,
"2023 January 13, 7:39AM",Joshua Fimmano,Product Research,5,5,5,5,"Hi, Thanks for doing a wonderful job by helping people. 
I think the call must be 30 minutes instead of 20 reasons being 

1. The person researches 30 products and needs an explanation for each of them for not getting picked - improves their product research for future
2. The call went too fast and I wasn't even able to think of any questions.
3. The picked product must be checked against google and other selling platforms too, one of my picked products was actually getting sold by Ozsale, My deal, and Kogan for the MFG price, this kind of research for the picked product must happen on the product research call. Everyone wants their product to do well, this due diligence by coaches will be highly appreciated","I have reached out to Josh asking a question, hope he finds the time to reply soon, 

Thanks",,,,,5583863002019929120,2-2023,5,
"2023 January 13, 10:05AM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5583721392525747510,2-2023,5,
"2023 January 13, 2:42PM",Joshua Fimmano,Website Optimisation,5,5,5,5,,,,,,,5583674688413375571,2-2023,5,
"2023 January 13, 4:49PM",Joshua Fimmano,Product Research,5,5,5,5,"I thought 20 mins wouldn't be enough but we finished early, I couldn't think of any questions!",Nope :),,,,,5583651779912979511,2-2023,5,
"2023 January 14, 9:59AM",Joshua Fimmano,Ad Account Review,5,5,5,5,,,,,,,5583053852714097564,2-2023,5,
"2023 January 14, 10:33AM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5582985781912069731,2-2023,5,
"2023 January 14, 11:28AM",Joshua Fimmano,Website Optimisation,3,3,2,2,Not very warm and open compared to Selena.,,,,,,5582862994232377202,2-2023,2.5,
"2023 January 14, 12:40PM",Joshua Fimmano,Product Research,5,5,5,5,Josh was great. He was straight to the point and explained everything clear as day.,None!,,,,,5582821334465898317,2-2023,5,
"2023 January 14, 1:14PM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5581144047594707801,2-2023,5,
"2023 January 14, 2:01PM",Joshua Fimmano,Product Research,5,5,5,5,All straightforward,Nope!,,,,,5581083188515540566,2-2023,5,
"2023 January 15, 10:34AM",Joshua Fimmano,Product Research,2,2,2,2,,,,,,,5580713870526511627,3-2023,2,
"2023 January 16, 1:05AM",Joshua Fimmano,Website Optimisation,5,5,5,5,,,,,,,5580578921411587378,3-2023,5,
"2023 January 17, 9:18AM",Joshua Fimmano,"Website Optimisation
Ad Angle Review",5,5,5,5,,Little more time but I understand how busy you guys are,,,,,5580374197594215307,3-2023,5,
"2023 January 17, 9:29AM",Joshua Fimmano,Ad Account Review,5,5,5,5,really good,,,,,,5578970324219485968,3-2023,5,
"2023 January 17, 10:48AM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5578680830861051277,3-2023,5,
"2023 January 17, 11:21AM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5578680610029761377,3-2023,5,
"2023 January 17, 1:41PM",Joshua Fimmano,Product Research,5,5,5,5,"No great call, very nice to talk to very positive.",,,,,,5578658798612078203,3-2023,5,
"2023 January 17, 3:04PM",Joshua Fimmano,Product Research,5,5,5,5,It would be great to update the videos that we're watching because I have been misled by a few things that are now out of date or no longer reliable which wastes my time too.,No they're all fantastic!,,,,,5578470881016055133,3-2023,5,
"2023 January 19, 1:11PM",Selena Markantonakis,Product Research,5,5,5,5,,,,,,,5577964044123777322,3-2023,5,
"2023 January 19, 3:21PM",Selena Markantonakis,Ad Account Review,5,5,5,5,No,"No she was great!!

Thank you so much for your time",,,,,5577917358419620747,3-2023,5,
"2023 January 22, 8:06AM",Selena Markantonakis,Website Optimisation,5,5,5,5,"Was awesome,
Selena gave me good understanding and guidance with a step by step list to fulfil the results needed??",??,,,,,5577844197217829731,4-2023,5,
"2023 January 22, 8:45AM",Selena Markantonakis,Product Research,5,5,5,5,"Nothing, very thorough, insightful and helpful",Nope,,,,,5577657296979351369,4-2023,5,
"2023 January 22, 9:20AM",Selena Markantonakis,Product Research,5,5,5,5,,,,,,,5577634922518106300,4-2023,5,
"2023 January 22, 9:46AM",Selena Markantonakis,Website Optimisation,5,5,5,5,Nil,"No, thank you for your feedback Selena on helping us make our website better!",,,,,5577617576116458035,4-2023,5,
"2023 January 22, 11:44AM",Selena Markantonakis,Product Research,5,5,5,5,,,,,,,5576898668469638561,4-2023,5,
"2023 January 22, 11:57AM",Selena Markantonakis,Website Optimisation,5,5,5,5,,,,,,,5576778312014582076,4-2023,5,
"2023 January 23, 8:43AM",Selena Markantonakis,Product Research,5,5,5,5,,,,,,,5576377590813094843,4-2023,5,
"2023 January 23, 8:43AM",Selena Markantonakis,"Website Optimisation
Ad Angle Review
Ad Account Review",5,5,5,5,N/A,N/A  Selena is always 150% present in ALL our coaching calls and treats your business as her own. Thank you soo much Selena!,,,,,5576309873415615432,4-2023,5,
"2023 January 23, 12:08PM",Selena Markantonakis,Product Research,5,5,5,5,,,,,,,5576229857813684832,4-2023,5,
